admin2Pcode,District,admin1Name_en,AREA_SQKM,T_TL,M_TL,F_TL,Inernet_Total_15 year+,Inernet_Male_15 year+,Inernet_Female_15 year+,Mobile Phone_Total_15 year+,Mobile Phone_Male_15 year+,Mobile Phone_Female_15 year+,4G Avg. UE throughput DL (MB),Literacy Rate_7year+_Overall,Literacy Rate_7year+_Male,Literacy Rate_7year+_Female,Employment_Rate,Employment_Rate_Male,Employment_Rate_Female,Have financial account_Overall,Have financial account_Male,Have financial account_Female,Mobile Bank Account_Overall,Mobile Bank Account_Male,Mobile Bank Account_Female,National Grid_%,No Electricity Connection_%,Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Percentage of population in bottom 40% (%),Num_op_x_towers,Cell_tower_density,Tea_State_Count,mean_distance,min_distance,max_distance,median_distance,25_perc_distance,75_perc_distance,std_dev_distance,mean_num_tower_500m,mean_num_tower_1000m,mean_num_tower_2000m,mean_num_tower_5000m,mean_num_tower_10000m
BD1079,Pirojpur,Barisal,1269.84638776557,1059726,505212,554514,29.96,38.53,22.18,72.69,83.53,62.87,11.421976744186047,85.53,86.01,85.09,29.87,53.21,7.93,24.71,30.95,19.05,44.19,56.04,33.44,98.67,0.81,44.10000228881836,30.89999771118164,57.05800247192383,104,0.08189966991440523,0,1496.0,78.0,5584.0,1400.0,845.0,2022.0,896.0,0.14468543602674258,0.5004869205909538,1.5504903259896514,7.270632165377711,25.597406602576548
BD3082,Rajbari,Dhaka,1139.2363414506,1113458,535208,578250,30.39,40.18,21.37,64.85,82.58,48.51,12.934534883720929,69.49,70.79,68.27,32.14,58.09,7.51,25.97,31.21,21.15,37.62,51.77,24.58,98.97,0.61,41.900001525878906,25.700000762939453,55.79204177856445,78,0.06846691697061023,0,1558.0,29.0,5796.0,1443.0,892.0,2129.0,869.0,0.10189227085388088,0.3744830058740875,1.2792066389578611,6.488106917217277,23.65871097419612
BD5081,Rajshahi,Rajshahi,2438.42758696696,2837737,1392086,1445651,29.73,40.51,19.16,67.73,86.68,49.16,13.970232558139537,75.17,77.54,72.81,34.38,60.14,8.66,28.13,35.06,21.33,41.47,58.06,25.22,98.26,0.7,31.400001525878906,16.5,36.571746826171875,171,0.07012715936859068,0,1662.0,22.0,7076.0,1456.0,695.0,2387.0,1170.0,0.24389311333355412,0.8623058627870719,2.7418795626999435,10.972340308798943,28.787474586372337
BD2084,Rangamati,Chittagong,5762.959416636691,682248,351407,330841,32.12,41.19,22.49,72.41,84.29,59.78,10.276666666666664,71.41,77.79,64.64,36.9,59.79,12.6,20.08,25.35,14.47,38.0,49.2,26.1,47.54,7.73,20.299999237060547,6.800000190734863,30.932741165161133,106,0.01839332751398455,2,4064.0,32.0,41584.0,2443.0,1160.0,4849.0,5036.0,0.1606960855896499,0.4912043047140825,1.496041890577721,5.213175042441275,16.6838274780886
BD5585,Rangpur,Rangpur,2343.98475499476,3147367,1532785,1614582,23.32,32.59,14.54,65.13,83.29,47.93,11.834767441860464,70.73,73.49,68.04,31.36,55.54,7.81,23.57,29.63,17.82,42.28,58.24,27.16,98.69,0.96,46.20000076293945,30.100000381469727,63.931663513183594,256,0.10921572738666224,0,1299.0,12.0,4830.0,1224.0,685.0,1802.0,784.0,0.2575707025532629,0.9703475186751146,3.395027649185138,14.335908183240964,42.01242557763283
BD4087,Satkhira,Khulna,3390.40283030799,2023845,972334,1051511,28.55,40.01,17.47,68.08,85.18,51.54,12.044883720930232,75.32,78.68,72.03,35.72,62.84,8.97,26.98,34.78,19.43,44.42,60.22,29.14,98.6,0.57,46.29999923706055,29.69999885559082,59.957950592041016,124,0.03657382506040901,0,3154.0,76.0,64325.0,1692.0,975.0,2681.0,6966.0,0.10777923827508627,0.3626385959095267,1.1977663836507728,5.413670268958166,17.30530086769682
BD3086,Shariatpur,Dhaka,1186.19608677036,1188172,557145,631027,40.02,48.62,32.47,71.62,83.86,60.86,10.778888888888893,72.9,74.2,71.73,29.64,54.2,7.24,24.14,28.21,20.57,37.1,46.99,28.4,98.46,0.38,52.60000228881836,34.400001525878906,70.43046569824219,101,0.08514612476508107,0,1431.0,14.0,5290.0,1292.0,815.0,1877.0,837.0,0.10904886141778597,0.39614448217627923,1.4321173225095305,7.698336457034006,28.969242407316408
BD4589,Sherpur,Mymensingh,1326.03653185398,1379426,665766,713660,21.19,31.18,12.11,60.01,79.84,42.01,11.108604651162791,63.7,65.78,61.75,31.26,54.9,8.95,16.67,22.36,11.49,37.04,52.57,22.93,98.9,0.84,48.400001525878906,29.80000114440918,64.40718841552734,124,0.0935117525205969,0,1345.0,38.0,5035.0,1267.0,792.0,1794.0,730.0,0.14533123588247035,0.5539560598437091,1.9054849843815982,9.204306754855718,32.445391039263356
BD5088,Sirajganj,Rajshahi,2494.30191903273,3442663,1679148,1763515,25.52,36.67,14.95,63.63,83.39,44.91,11.899069767441858,69.48,72.02,67.0,32.51,57.3,8.24,21.15,27.12,15.49,36.74,52.45,21.85,96.62,0.52,38.70000076293945,22.700000762939453,48.99422836303711,150,0.06013706634927691,0,1868.0,21.0,8448.0,1488.0,847.0,2391.0,1465.0,0.14943971986624316,0.48718547176720717,1.6115181627547122,7.06079062997915,23.5634124272839
BD6090,Sunamganj,Sylhet,3693.58371991987,2945083,1437614,1507469,26.94,37.21,17.49,57.03,77.6,38.08,11.126999999999994,64.92,66.14,63.76,28.82,50.44,8.13,12.58,16.59,8.87,26.43,38.66,15.16,97.05,1.29,26.0,20.600000381469727,34.97344207763672,201,0.054418693399580116,0,1845.0,10.0,8014.0,1659.0,1022.0,2402.0,1175.0,0.08516277063822413,0.3189951772394332,1.0830049182778592,5.208127026284393,18.42411326837808
BD6091,Sylhet,Sylhet,3417.92465829714,4609848,2278722,2331126,42.02,53.34,31.5,65.37,81.1,50.75,11.384888888888884,76.43,78.49,74.45,28.53,48.73,9.14,18.61,24.35,13.27,31.88,44.94,19.73,98.74,0.73,24.100000381469727,19.5,29.968027114868164,441,0.1290256644275221,19,1251.0,23.0,6744.0,1068.0,536.0,1692.0,944.0,0.5663453121349838,2.0917993196112503,7.16845867776587,26.22495496514501,63.562067869959314
BD3093,Tangail,Dhaka,3366.37405655939,3804363,1792283,2012080,36.66,46.16,28.26,69.08,84.11,55.79,11.514534883720932,69.75,72.66,67.08,30.42,54.05,8.67,27.65,32.52,23.34,35.53,47.72,24.75,98.26,0.61,29.69999885559082,18.0,33.171852111816406,432,0.12832798516797225,0,1155.0,22.0,7571.0,1066.0,671.0,1501.0,718.0,0.20316414432449056,0.7722607932566885,2.610847172485735,12.966510302899962,45.97556907376353
BD5594,Thakurgaon,Rangpur,1814.20604111119,1532697,753507,779190,20.72,30.76,10.91,62.73,85.61,40.39,12.995116279069766,74.38,78.36,70.42,32.68,57.35,8.04,26.1,32.51,19.83,40.9,60.89,21.37,98.77,0.97,27.000001907348633,13.799999237060547,32.67127990722656,77,0.042442808730169354,1,2503.0,8.0,10797.0,2091.0,1131.0,3410.0,1831.0,0.09501735635196343,0.33106622722603424,1.0312869519944683,4.4010586277283155,14.548659555849158
