admin2Pcode,District,admin1Name_en,AREA_SQKM,T_TL,M_TL,F_TL,Inernet_Total_15 year+,Inernet_Male_15 year+,Inernet_Female_15 year+,Mobile Phone_Total_15 year+,Mobile Phone_Male_15 year+,Mobile Phone_Female_15 year+,4G Avg. UE throughput DL (MB),Literacy Rate_7year+_Overall,Literacy Rate_7year+_Male,Literacy Rate_7year+_Female,Employment_Rate,Employment_Rate_Male,Employment_Rate_Female,Have financial account_Overall,Have financial account_Male,Have financial account_Female,Mobile Bank Account_Overall,Mobile Bank Account_Male,Mobile Bank Account_Female,National Grid_%,No Electricity Connection_%,Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Percentage of population in bottom 40% (%),Num_op_x_towers,Cell_tower_density,Tea_State_Count,mean_distance,min_distance,max_distance,median_distance,25_perc_distance,75_perc_distance,std_dev_distance,mean_num_tower_500m,mean_num_tower_1000m,mean_num_tower_2000m,mean_num_tower_5000m,mean_num_tower_10000m
BD2022,Cox's Bazar,Chittagong,2172.97806047136,2890272,1458504,1431768,37.42,48.83,25.8,66.59,80.79,52.12,10.893953488372096,71.58,72.51,70.62,32.51,55.54,8.79,22.4,28.3,16.39,33.69,45.62,21.53,88.96,3.4,32.70000076293945,16.200000762939453,45.76742172241211,528,0.24298450573654978,0,957.0,7.0,6233.0,748.0,431.0,1241.0,777.0,0.44599312084223997,1.714849027073639,5.605071276897481,22.465696275487815,61.60176998798492
BD3026,Dhaka,Dhaka,1476.08148926088,18113283,9794777,8318506,60.97,68.53,52.1,84.69,91.12,77.15,12.89290697674418,84.88,86.45,83.06,44.3,65.2,19.93,34.63,40.4,27.86,47.85,59.59,34.08,99.6,0.09,15.700000762939453,4.900000095367432,18.250865936279297,2650,1.7952938366071765,0,263.0,17.0,4802.0,163.0,98.0,274.0,304.0,6.797206992668711,26.30750044150914,97.99167935632218,492.40942959044594,1339.5024805726987
BD5527,Dinajpur,Rangpur,3460.16455125723,3255541,1597325,1658216,23.31,33.05,13.78,66.07,85.14,47.41,12.376162790697675,76.14,79.04,73.26,33.34,57.38,9.29,28.86,34.61,23.23,44.48,62.25,27.09,98.78,1.0,37.900001525878906,21.299999237060547,50.832271575927734,222,0.06415879843614306,0,1852.0,9.0,8709.0,1596.0,911.0,2491.0,1311.0,0.16956344738423829,0.6054937865542785,1.9571949869144407,7.622731406566954,22.766249359944922
BD3029,Faridpur,Dhaka,2043.6892204937,2018158,965729,1052429,36.21,45.55,27.79,68.47,82.81,55.53,12.69767441860465,72.13,73.27,71.08,31.37,56.77,7.64,25.67,30.51,21.3,36.33,48.16,25.67,99.05,0.46,36.29999923706055,19.799999237060547,50.934566497802734,186,0.09101188093318192,0,1405.0,34.0,6436.0,1274.0,793.0,1822.0,896.0,0.16814942190861024,0.5564459809537214,1.953429866119098,9.54724684982952,32.40911138845935
BD2030,Feni,Chittagong,906.8976903621331,1614966,757999,856967,52.03,59.07,46.21,73.61,82.26,66.46,13.570444444444439,80.79,82.58,79.21,25.82,47.92,6.27,29.65,34.71,25.47,35.25,46.45,25.99,99.4,0.24,25.899999618530273,14.59999942779541,31.86077880859375,353,0.3892390550239947,0,669.0,20.0,5052.0,608.0,370.0,861.0,445.0,0.6730122747962812,2.533582095461486,8.424340014903105,38.13501889398057,122.41360369320856
BD5532,Gaibandha,Rangpur,2166.58358748208,2545669,1209006,1336663,21.01,31.03,12.1,65.2,83.78,48.69,11.363139534883725,67.0,70.31,63.96,29.81,53.81,7.55,24.66,30.58,19.4,46.97,63.51,32.27,96.74,1.34,48.0,30.30000114440918,65.6321792602539,155,0.07154120473151697,0,1675.0,42.0,8016.0,1434.0,902.0,2147.0,1137.0,0.10442415811178565,0.3762478617208596,1.3470634226033646,7.175304526093501,25.654304573456088
BD3033,Gazipur,Dhaka,1817.13929007167,6154811,3220775,2934036,47.41,59.62,34.19,79.44,89.44,68.62,12.63325581395349,81.42,83.64,79.01,49.6,67.64,29.97,25.16,31.25,18.57,51.35,64.76,36.85,99.66,0.12,19.400001525878906,8.199999809265137,22.524646759033203,699,0.3846705664332593,0,617.0,24.0,3225.0,466.0,271.0,842.0,468.0,0.95319309583536,3.7072939277430703,13.592177359031083,71.51063382210111,242.23000423306448
BD3035,Gopalganj,Dhaka,1475.92493837469,1123453,536720,586733,33.66,43.55,24.57,69.64,82.39,57.92,11.74720930232558,79.84,81.69,78.08,29.36,52.2,7.62,24.25,28.74,20.12,41.66,52.98,31.27,99.53,0.35,42.69999694824219,26.80000114440918,55.60102844238281,106,0.07181937051401051,0,1660.0,57.0,5476.0,1516.0,903.0,2259.0,990.0,0.11295237051819093,0.41769028179238565,1.3978893009769973,6.4206147674690195,22.17124550589231
BD6036,Habiganj,Sylhet,2582.43372146929,2404043,1147162,1256881,31.57,42.26,22.03,61.59,78.45,46.55,8.676444444444444,69.44,70.63,68.34,30.62,52.99,9.79,16.81,21.69,12.46,29.63,41.46,19.07,98.3,1.13,25.299999237060547,20.100000381469727,32.56259536743164,204,0.07899525099290179,25,1497.0,17.0,6550.0,1302.0,821.0,1976.0,940.0,0.12859599111228115,0.4407052661628597,1.516387749194159,7.4608808619583655,26.58826744472715
BD4539,Jamalpur,Mymensingh,2065.67629967395,2395906,1139024,1256882,23.79,33.57,14.98,62.81,80.68,46.69,10.749651162790695,61.7,64.27,59.29,29.68,53.04,7.75,17.61,22.22,13.46,37.75,51.55,25.3,98.08,0.83,51.099998474121094,34.20000076293945,67.65327453613281,206,0.09972520865564242,0,1353.0,13.0,7560.0,1234.0,799.0,1731.0,825.0,0.15641151288484154,0.5179866038492336,1.7100869916469843,8.648491988622226,29.917863958103464
