tea_garden_bn,tea_garden_en,reg_workers,unreg_workers,tot_workers,tea_estate_pop,nearest_distance,num_tower_500m,num_tower_1000m,num_tower_2000m,num_tower_5000m,num_tower_10000m,num_tower_500m_quality,num_tower_1000m_quality,num_tower_2000m_quality,num_tower_5000m_quality,num_tower_10000m_quality,nearest_distance_quality,perc_unreg_workers
আজগরাবাদ,Azgarabad,94,2,96,306,871.74616679544,0,1,1,6,18,bad,bad,bad,bad,bad,good,2.083333333333333
বিজয়া,Bijoya,177,40,217,1272,524.8639954251789,0,1,1,8,28,bad,bad,bad,bad,bad,good,18.433179723502306
চান্দবাগ,Chandbagh,542,162,704,2037,2442.8808606034813,0,0,0,4,26,bad,bad,bad,bad,bad,ok,23.011363636363637
ডালুছড়া,Daluchhara,38,26,64,127,414.4064393544821,1,1,1,11,21,bad,bad,bad,bad,bad,good,40.625
ইটা,Ita,1133,0,1133,7291,563.1298206013769,0,1,1,5,23,bad,bad,bad,bad,bad,good,0.0
করিমপুর,Karimpur,1302,0,1302,6851,148.36417736789568,1,1,2,5,24,bad,bad,bad,bad,bad,good,0.0
গাজীপুর,Gazipur,1026,713,1739,3995,233.7690275634504,1,1,3,10,25,bad,bad,bad,bad,bad,good,41.00057504312824
হাজীনগর,Hajinagar,159,235,394,530,3460.387711814016,0,0,0,3,25,bad,bad,bad,bad,bad,ok,59.64467005076142
হিঙ্গাজিয়া,Hingajia,346,395,741,2739,711.9807762962511,0,1,2,7,30,bad,bad,bad,bad,bad,good,53.306342780026995
লিমাই,Limai,213,80,293,608,3889.1493371786373,0,0,0,3,21,bad,bad,bad,bad,bad,ok,27.303754266211605
কালিটি,Kaliti,542,14,556,4524,1284.0483209191264,0,0,1,7,24,bad,bad,bad,bad,bad,good,2.5179856115107913
কাশিপুর,Kashipur,16,127,143,190,1174.987733556578,0,0,1,5,27,bad,bad,bad,bad,bad,good,88.81118881118881
লুয়ানী-হলিছড়া,Luyani-Halichhara,538,500,1038,605,3012.898028935579,0,0,0,4,25,bad,bad,bad,bad,bad,ok,48.16955684007707
লংলা,Longla,1056,0,1056,7342,2552.533217796695,0,0,0,6,31,bad,bad,bad,bad,bad,ok,0.0
মেরিনা,Merina,520,201,721,3105,2070.8334679830227,0,0,0,5,26,bad,bad,bad,bad,bad,ok,27.877947295423024
মনিপুর,Monipur,643,203,846,3234,931.5132180017066,0,1,2,11,23,bad,bad,bad,bad,bad,good,23.995271867612296
মোমিনছড়া,Mominchhara,531,150,681,1335,1443.034768429712,0,0,1,6,23,bad,bad,bad,bad,bad,good,22.026431718061673
উত্তরবাগ-ইন্দুনগর,Uttarbag-Indunagar,1061,600,1661,4443,1846.522958233749,0,0,1,6,27,bad,bad,bad,bad,bad,good,36.12281757977122
মুরাইছড়া,Muraichhara,219,36,255,821,380.642843228973,1,1,1,4,13,bad,bad,bad,bad,bad,good,14.117647058823529
পাল্লাকান্দি,Pallakandi,24,0,24,143,2486.8484656740143,0,0,0,7,32,bad,bad,bad,bad,bad,ok,0.0
রাজনগর,Rajnagar,912,890,1802,5599,457.0091675903222,1,1,1,4,27,bad,bad,bad,bad,bad,good,49.38956714761376
রেহেনা,Rehana,62,188,250,253,3061.1023505796106,0,0,0,2,22,bad,bad,bad,bad,bad,ok,75.2
রাঙ্গিছড়া,Rangichhara,423,69,492,2035,787.3081597998992,0,1,1,7,23,bad,bad,bad,bad,bad,good,14.02439024390244
সিরাজনগর,Sirajnagar,125,250,375,575,2063.584937197017,0,0,0,4,29,bad,bad,bad,bad,bad,ok,66.66666666666666
শফিনগর,Shafinagar,14,0,14,50,957.8932454962877,0,1,1,7,25,bad,bad,bad,bad,bad,good,0.0
মাথিউড়া,Mathiura,633,42,675,2430,786.6504167257632,0,1,1,7,24,bad,bad,bad,bad,bad,good,6.222222222222222
বোরহাননগর,Borhananagar,30,5,35,168,1319.8844278877443,0,0,1,3,13,bad,bad,bad,bad,bad,good,14.285714285714285
হাবিবনগর,Habibnagar,530,311,841,1905,1078.9915062722146,0,0,1,8,24,bad,bad,bad,bad,bad,good,36.979785969084425
খান,Khan,519,181,700,1882,1375.2301074577265,0,0,2,9,28,bad,bad,bad,bad,bad,good,25.857142857142858
আফিফানগর,Afifnagar,255,108,363,774,2097.6617067849375,0,0,0,1,10,bad,bad,bad,bad,bad,ok,29.75206611570248
লালখাল,Lalkhal,424,188,612,1469,593.6946361426782,0,1,1,2,15,bad,bad,bad,bad,bad,good,30.718954248366014
বুরজান,Burjan,1178,350,1528,2450,143.00716111614994,7,24,63,120,158,good,good,good,good,ok,good,22.905759162303667
খাদিম,Khadim,862,120,982,3362,1877.649259557454,0,0,1,17,143,bad,bad,bad,bad,ok,good,12.219959266802444
লোভাছড়া,Lovachhara,208,89,297,928,1657.0255928628503,0,0,1,2,14,bad,bad,bad,bad,bad,good,29.96632996632997
লাক্কাতুরা,Lakkatura,1082,220,1302,4428,600.9061932933768,0,2,28,115,160,bad,bad,good,good,ok,good,16.897081413210447
আলী বাহার,Ali Bahar,142,151,293,1238,1428.5537196889636,0,0,6,82,153,bad,bad,bad,good,ok,good,51.5358361774744
জাফলং,Jaflong,462,300,762,4854,1451.889061856208,0,0,2,7,16,bad,bad,bad,bad,bad,good,39.37007874015748
শ্রীপুর,Sripur,57,33,90,501,917.5997186909443,0,1,1,3,13,bad,bad,bad,bad,bad,good,36.666666666666664
স্টার,Star,94,52,146,308,733.2348747343044,0,1,15,105,158,bad,bad,ok,good,ok,good,35.61643835616438
মালনীছড়া,Malnichhara,1312,1238,2550,7446,1230.648239003691,0,0,7,92,160,bad,bad,bad,good,ok,good,48.549019607843135
ডালিয়া,Dalia,13,35,48,46,1142.185270788083,0,0,5,66,149,bad,bad,bad,ok,ok,good,72.91666666666666
ফনিহপুর,Fatehpur,0,105,105,95,600.7138149401259,0,1,2,7,25,bad,bad,bad,bad,bad,good,100.0
দি মেলোয়া টি এস্টেট,The Mellow Tea Estate,0,44,44,174,1838.8572095041623,0,0,1,4,16,bad,bad,bad,bad,bad,good,100.0
আমরাইল,Amrail,1701,380,2081,8236,3346.271179655299,0,0,0,6,21,bad,bad,bad,bad,bad,ok,18.26045170591062
আমলী,Amli,174,168,342,526,387.3421809961036,1,1,1,3,27,bad,bad,bad,bad,bad,good,49.122807017543856
বালিশিরা,Balishira,3206,902,4108,21093,2416.0547168986927,0,0,0,15,25,bad,bad,bad,bad,bad,ok,21.95715676728335
ভাড়াউড়া,Bharauora,1503,0,1503,7416,1623.3462594734053,0,0,1,14,29,bad,bad,bad,bad,bad,good,0.0
বিলাসছড়া,Bilashchhara,178,1,179,795,2081.612748101122,0,0,0,4,24,bad,bad,bad,bad,bad,ok,0.5586592178770949
কেওয়ানাল,Kewachhara,104,103,207,434,1495.400020952186,0,0,1,4,22,bad,bad,bad,bad,bad,good,49.75845410628019
দারাগাঁও,Daragaon,1634,430,2064,7029,1177.9246948730206,0,0,1,8,32,bad,bad,bad,bad,bad,good,20.833333333333336
ডিনস্টন,Dinston,3175,0,3175,18599,3583.2046708568864,0,0,0,1,10,bad,bad,bad,bad,bad,ok,0.0
দেওরাছড়া,Deorachhara,732,241,973,4635,3597.404154671557,0,0,0,4,41,bad,bad,bad,bad,bad,ok,24.768756423432684
দিনারপুর,Dinarpur,402,288,690,1030,902.4660662629128,0,1,1,5,24,bad,bad,bad,bad,bad,good,41.73913043478261
হামিদিয়া,Hamidia,172,32,204,645,283.62811282613205,1,1,1,4,18,bad,bad,bad,bad,bad,good,15.686274509803921
হোসনাবাদ,Hosnabad,382,101,483,3094,1804.1663688914266,0,0,1,2,25,bad,bad,bad,bad,bad,good,20.910973084886127
জুনেখানগর,Junekhanagar,219,144,363,660,5425.080411362467,0,0,0,0,16,bad,bad,bad,bad,bad,bad,39.66942148760331
মৌলভী,Moulvi,572,100,672,3870,664.9447996551175,0,1,1,7,34,bad,bad,bad,bad,bad,good,14.880952380952381
মাজদিহী,Majdihi,1122,0,1122,5019,731.1061489636304,0,1,2,7,28,bad,bad,bad,bad,bad,good,0.0
মির্জাপুর,Mirzapur,1354,958,2312,6178,760.800290065413,0,1,1,5,22,bad,bad,bad,bad,bad,good,41.43598615916955
এম আর খান,M R Khan,187,345,532,584,1178.8227723714565,0,0,1,8,28,bad,bad,bad,bad,bad,good,64.84962406015038
নাহার,Nahar,110,220,330,330,7800.028938439026,0,0,0,0,4,bad,bad,bad,bad,bad,bad,66.66666666666666
নুরজাহান,Nurjahan,303,152,455,1455,3234.81949342554,0,0,0,5,32,bad,bad,bad,bad,bad,ok,33.4065934065934
পারকুল,Parkul,810,0,810,6329,2346.3235180402503,0,0,0,5,26,bad,bad,bad,bad,bad,ok,0.0
প্রেমনগর,Premnagar,400,0,400,2000,1526.199155347899,0,0,1,9,39,bad,bad,bad,bad,bad,good,0.0
রশিদপুর,Rashidpur,2120,1390,3510,9872,955.2041807236405,0,1,2,9,30,bad,bad,bad,bad,bad,good,39.6011396011396
রাজঘাট,Rajghat,3067,1150,4217,18608,2949.469469944878,0,0,0,1,9,bad,bad,bad,bad,bad,ok,27.270571496324404
সাইফ,Saif,429,222,651,1455,1139.3777087623127,0,0,1,5,21,bad,bad,bad,bad,bad,good,34.10138248847927
সাতগাঁও,Satgaon,1077,350,1427,9944,2134.991361379131,0,0,0,6,25,bad,bad,bad,bad,bad,ok,24.52697967764541
শ্রীবাড়ি,Sribari,587,520,1107,3278,210.62021188835448,1,1,1,6,27,bad,bad,bad,bad,bad,good,46.973803071364046
জেরীন,Jerin,672,189,861,2053,851.6066550221275,0,1,1,10,28,bad,bad,bad,bad,bad,good,21.951219512195124
আমু,Amu,1272,0,1272,6699,3645.031729628144,0,0,0,2,15,bad,bad,bad,bad,bad,ok,0.0
চাকলাপুঞ্জি,Chaklapunji,409,350,759,2423,4537.986932403424,0,0,0,1,12,bad,bad,bad,bad,bad,ok,46.113306982872196
চান্দপুর,Chandpur,1655,0,1655,10331,2738.081078882384,0,0,0,4,21,bad,bad,bad,bad,bad,ok,0.0
লস্করপুর,Laskarpur,1231,457,1688,6337,2552.541399044873,0,0,0,4,22,bad,bad,bad,bad,bad,ok,27.073459715639807
নালুয়া,Nalua,1284,450,1734,6192,2651.7248284144716,0,0,0,3,10,bad,bad,bad,bad,bad,ok,25.951557093425603
চলিছড়া,Chalichhara,955,0,955,4403,2028.5149327374904,0,0,0,2,19,bad,bad,bad,bad,bad,ok,0.0
জগদীশপুর,Jagadishpur,698,0,698,4112,2409.2794034142753,0,0,0,6,17,bad,bad,bad,bad,bad,ok,0.0
তেলিয়াপাড়া,Teliapara,1112,0,1112,3793,2014.0900331231642,0,0,0,3,16,bad,bad,bad,bad,bad,ok,0.0
দেউন্দি,Deundi,1396,0,1396,7141,2807.3414804456675,0,0,0,4,29,bad,bad,bad,bad,bad,ok,0.0
লালচান্দ,Lalchand,1109,0,1109,6469,669.2550472737043,0,1,1,11,38,bad,bad,bad,bad,bad,good,0.0
নোয়াপাড়া,Noapara,843,0,843,4266,1106.0639447880255,0,0,3,8,23,bad,bad,bad,bad,bad,good,0.0
বাওয়ানী,Bawani,161,29,190,458,907.8986684716278,0,1,2,9,23,bad,bad,bad,bad,bad,good,15.263157894736842
বৈকুণ্ঠপুর,Baikunthapur,380,32,412,1718,1633.0907461384404,0,0,1,8,21,bad,bad,bad,bad,bad,good,7.766990291262135
বৃন্দাবন,Brindaban,412,575,987,1869,1736.8786093913736,0,0,2,7,25,bad,bad,bad,bad,bad,good,58.257345491388044
ইমাম,Imam,177,62,239,615,907.384825159133,0,1,2,9,23,bad,bad,bad,bad,bad,good,25.94142259414226
মধুপুর,Madhupur,666,0,666,2168,2267.7398892398755,0,0,0,8,28,bad,bad,bad,bad,bad,ok,0.0
সুরমা,Surma,2125,80,2205,14650,357.0515099505175,1,1,1,3,14,bad,bad,bad,bad,bad,good,3.6281179138321997
রেমা,Rema,387,200,587,3000,2839.8881079655907,0,0,0,3,10,bad,bad,bad,bad,bad,ok,34.07155025553663
চাতলাছড়া,Chatlachhara,135,45,180,155,2509.7943291636525,0,0,0,6,29,bad,bad,bad,bad,bad,ok,25.0
